CL,1,30
-0.06,55.45
AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,CP,CQ,CR,CS,CT,CU,CV,CW,CX,CY,CZ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,DK,DL,DM,DN,DO,DP,DQ,DR,DS,DT,DU,DV
34.42,2.27,10.63,21.60,37.45,24.98,25.37,44.78,941.75,20.05,38.10,5.08,63.48,48.97,6.09,41.27,34.49,49.70,35.77,6.45,44.39,23.10,25.22,74.81,10.88,12.93,59.06,11.13,21.16,16.40,6.92,69.39,26.08,36.78,12.97,6.36,12.32,21.92,21.61,33.20,436.29,13.34,7.84,19.32,19.77,7.95,29.05,53.46,18.16,23.68,29.94,32.04,7.03,92.81,10.94,5.46,20.55,11.51,213.38,104.98,28.61,25.12,17.11,55.02,7.43,5.76,16.89,24.16,39.82,39.56,26.77,10.85,11.30,33.57,27.06,31.40,26.61,9.85,22.21,19.89,12.56,43.16,30.15,52.59,3.48,7.92,18.63,19.48,14.14,22.00,19.70,25.94,3.91,5.62,23.93,2.40,11.08,10.47,31.97,24.70
34.72,2.28,10.73,21.55,37.45,25.13,25.47,45.13,962.45,20.43,38.30,5.10,65.08,49.22,6.11,41.20,34.69,50.36,31.46,6.47,45.47,23.14,25.27,75.75,11.02,13.06,58.88,11.22,20.97,16.45,6.96,69.44,26.12,36.80,13.03,6.41,12.52,22.51,21.25,33.26,435.58,13.31,7.81,19.83,19.85,7.94,29.54,53.76,18.16,23.94,30.39,31.85,7.10,93.32,11.00,5.42,20.76,11.79,216.24,105.54,28.53,25.54,17.21,55.08,7.64,5.64,16.95,24.40,41.06,39.85,26.92,10.87,11.18,33.64,26.55,33.09,26.95,9.90,22.30,20.10,12.78,42.96,30.26,52.99,3.52,7.97,18.68,19.37,13.64,22.49,19.79,25.70,3.94,5.65,23.74,2.42,11.42,10.59,31.62,24.65
35.57,2.26,10.76,21.76,37.11,25.26,25.43,44.98,965.28,20.10,38.18,5.15,64.91,49.22,6.05,41.21,34.71,50.48,31.69,6.68,45.52,22.96,25.31,75.85,11.41,13.10,59.06,11.52,21.06,16.47,6.98,69.63,25.99,36.90,13.08,6.47,12.33,22.70,21.26,33.27,436.02,13.38,7.88,20.12,19.91,8.02,29.69,53.37,18.29,24.06,30.68,31.56,7.13,93.58,10.96,5.38,20.76,11.61,215.68,105.64,28.64,25.30,17.09,55.25,7.68,5.63,16.95,24.51,40.76,39.71,27.02,10.84,11.15,33.98,26.37,32.88,26.71,9.78,22.28,20.41,12.63,42.62,30.33,52.96,3.57,7.98,18.79,19.41,13.65,22.88,19.89,25.51,3.96,5.70,23.44,2.40,11.51,10.61,32.13,24.47
35.32,2.29,10.64,21.69,36.94,24.77,25.49,44.26,963.16,20.27,38.03,5.05,64.43,48.56,5.95,40.39,34.43,49.80,31.85,6.54,44.92,22.72,24.99,75.67,11.05,13.19,58.88,11.44,20.99,16.33,6.90,68.82,25.26,36.75,13.00,6.40,12.18,22.51,21.04,32.55,430.80,13.29,7.82,19.83,19.81,7.86,29.54,52.46,17.94,23.76,30.24,31.25,7.04,93.30,10.88,5.38,20.55,11.53,212.53,105.76,28.24,24.98,17.02,54.93,7.30,5.44,16.62,24.32,40.04,39.18,26.95,10.79,11.22,34.05,26.19,32.31,26.59,9.78,21.99,20.27,12.55,42.88,30.02,52.14,3.47,7.88,18.64,19.28,13.47,22.64,19.84,25.56,3.85,5.71,23.29,2.42,11.58,10.61,31.84,23.63
35.31,2.27,10.63,21.71,36.87,24.92,25.50,44.18,969.68,20.30,37.99,5.00,63.97,48.06,6.09,40.52,34.21,50.10,31.88,6.48,45.18,22.81,24.93,75.31,11.20,13.08,58.71,11.40,20.40,16.40,6.89,68.49,25.61,37.00,13.03,6.42,12.11,22.68,20.99,33.02,429.20,13.34,7.77,19.70,19.80,8.07,29.44,52.54,18.19,23.75,30.29,31.55,7.07,93.27,10.94,5.34,20.58,11.37,213.56,105.53,28.29,25.05,17.06,54.96,7.27,5.38,16.60,24.34,39.90,39.26,26.83,10.74,11.32,34.01,26.19,32.82,26.54,9.75,22.05,20.32,12.69,43.30,29.87,52.69,3.42,7.88,18.62,19.23,13.45,22.46,19.75,25.84,3.89,5.74,23.17,2.39,11.69,10.55,32.13,23.91
35.24,2.21,10.48,21.66,36.92,24.72,25.38,44.25,979.46,20.00,37.86,5.06,63.42,47.99,6.26,40.27,34.15,50.26,31.66,6.36,44.66,22.75,24.93,75.14,10.70,13.21,58.98,11.24,20.45,16.41,6.87,68.60,25.35,36.90,13.00,6.48,12.15,22.46,20.82,32.88,430.18,13.46,7.79,19.95,19.83,8.06,29.35,52.43,17.94,23.65,29.89,31.39,7.08,92.84,10.98,5.32,20.63,11.25,210.29,105.56,28.05,25.06,17.13,54.54,7.24,5.36,16.36,24.37,39.57,39.15,26.79,10.69,11.51,33.84,26.25,32.84,26.83,9.72,22.02,20.13,12.73,42.98,30.00,52.75,3.31,7.88,18.88,19.14,13.27,22.11,19.77,25.92,3.89,5.73,23.01,2.37,11.43,10.56,32.07,23.67
35.01,2.22,10.38,21.70,36.96,24.49,25.10,42.95,967.13,19.93,37.70,5.06,63.29,47.15,6.16,40.54,34.12,49.59,31.36,6.29,45.28,22.32,24.83,75.64,10.78,13.12,58.71,11.19,20.06,16.28,6.82,68.35,25.56,36.53,12.91,6.43,12.04,22.30,20.70,33.06,429.73,13.41,7.74,19.96,19.67,7.98,29.28,52.31,17.72,23.42,29.78,31.56,7.03,92.53,10.82,5.26,20.54,11.19,207.64,105.31,27.87,24.83,17.11,54.41,7.05,5.34,16.29,24.20,39.09,39.05,26.68,10.61,11.50,33.33,26.06,32.11,26.52,9.67,21.75,19.90,12.67,42.81,29.95,52.22,3.28,7.84,18.56,19.05,13.31,21.82,19.61,25.82,3.87,5.69,22.59,2.34,11.21,10.49,32.01,23.70
35.31,2.31,10.42,22.03,38.52,25.05,25.33,42.75,986.83,20.80,38.16,5.07,64.50,47.58,6.25,41.42,34.81,49.74,31.57,6.35,46.74,22.68,25.34,76.01,10.99,13.27,59.30,11.32,20.42,16.30,6.90,68.81,26.59,36.86,13.16,6.33,12.14,22.70,20.64,34.40,436.46,13.55,7.72,20.65,20.02,8.07,29.70,53.34,18.23,23.55,30.61,31.61,7.03,92.47,10.92,5.33,20.73,11.64,217.83,106.26,28.40,24.97,17.13,54.31,7.41,5.34,16.69,24.56,38.60,40.05,27.01,10.77,11.35,33.78,26.22,33.02,26.73,9.47,21.62,19.89,12.61,43.01,30.88,53.31,3.45,7.86,19.11,19.56,13.51,22.38,19.65,26.13,3.72,5.63,23.35,2.36,11.72,10.83,31.99,25.51
36.96,2.31,10.43,22.15,38.42,25.28,25.42,42.52,988.25,21.32,38.12,5.11,64.19,47.25,6.32,41.02,34.44,50.25,31.59,6.63,47.27,22.76,25.47,76.13,11.29,13.08,59.34,11.43,21.28,16.49,6.94,68.37,26.36,36.98,13.46,6.31,12.21,23.24,20.64,34.30,428.40,13.61,7.82,21.02,19.68,8.13,29.67,54.59,18.25,23.59,30.61,31.94,6.96,93.83,11.07,5.46,20.70,11.80,222.84,104.80,27.87,24.87,17.16,54.24,7.65,5.30,16.91,24.59,40.69,40.66,26.86,10.75,11.44,33.62,25.89,33.34,27.03,9.52,21.81,20.01,12.57,43.47,31.07,53.04,3.43,7.92,19.33,19.65,14.05,22.15,19.57,26.13,3.57,5.60,23.48,2.42,12.04,10.85,31.92,25.21
37.44,2.30,10.57,22.31,38.07,26.09,25.20,41.87,989.52,21.60,38.22,5.06,63.26,47.65,6.38,41.46,34.49,49.66,30.84,6.62,47.12,23.01,25.59,75.31,11.74,13.08,59.20,11.52,21.05,16.24,6.95,68.38,26.16,36.76,13.83,6.29,12.05,23.26,21.15,33.88,430.53,13.48,7.82,20.93,20.03,8.11,29.45,55.84,18.81,23.54,30.48,31.61,6.97,92.87,11.17,5.69,20.65,12.05,225.85,104.75,27.60,24.86,17.25,54.61,7.74,5.35,17.14,24.23,40.09,40.50,26.94,10.80,11.35,33.80,25.59,33.97,26.96,9.55,21.84,20.39,12.52,42.97,30.99,52.55,3.39,7.90,19.36,19.66,14.18,22.68,20.36,26.20,3.56,5.64,23.60,2.38,12.32,10.99,31.99,24.92
36.77,2.35,10.77,23.42,39.00,26.19,25.42,44.29,993.77,22.47,38.24,5.11,62.68,47.87,6.67,41.60,34.43,48.97,30.99,6.58,47.18,23.14,25.93,77.00,11.74,13.17,59.40,11.61,22.12,16.27,7.18,68.38,26.75,36.81,14.15,6.24,12.30,23.39,21.26,34.50,430.53,13.68,7.84,21.27,20.30,8.08,29.65,56.56,19.13,23.93,31.09,31.63,7.25,91.82,11.21,5.80,20.79,12.14,233.06,106.24,27.80,25.25,17.45,56.23,8.23,5.52,17.17,24.50,40.02,40.68,27.13,10.90,11.46,34.05,25.29,35.16,27.14,9.47,21.97,20.97,12.44,43.88,31.16,52.98,3.57,7.96,19.32,19.61,14.47,23.54,20.29,26.23,3.58,5.62,24.25,2.46,12.52,11.28,31.64,26.05
36.40,2.35,11.17,23.35,38.38,26.56,25.36,43.64,989.10,22.13,38.10,5.18,63.39,47.08,6.61,42.63,34.46,48.56,31.14,6.61,47.55,23.13,26.08,77.89,12.06,13.20,59.58,12.03,21.85,16.46,7.22,69.71,26.75,36.96,14.37,6.35,12.52,23.23,21.11,34.33,428.49,13.62,7.82,21.16,20.51,8.32,29.71,56.12,19.10,24.22,31.01,32.17,7.26,92.11,11.29,5.87,20.74,12.32,233.68,107.52,28.11,25.04,17.72,55.42,8.11,5.52,17.27,24.13,41.23,40.93,27.57,10.96,11.28,34.50,25.44,35.51,27.44,9.47,22.39,21.00,12.38,43.98,31.49,53.25,3.76,7.99,19.64,19.57,14.70,23.85,20.41,26.12,3.57,5.70,24.30,2.79,12.87,11.07,31.84,26.52
35.64,2.50,11.06,22.85,38.61,26.56,25.15,42.53,997.88,23.01,38.86,5.16,62.59,45.65,6.63,42.51,34.17,48.79,30.92,6.67,47.96,22.97,26.03,78.21,11.77,13.07,59.40,11.86,21.60,16.30,7.21,69.40,26.70,36.92,14.30,6.47,12.38,22.89,21.26,34.50,429.82,13.48,7.83,20.64,20.77,8.25,29.81,55.90,18.91,24.60,30.80,33.34,7.28,91.28,11.01,5.98,20.63,12.15,235.12,108.87,28.78,25.00,17.66,55.64,8.36,5.50,17.05,24.08,42.75,41.00,27.61,10.97,11.17,34.26,25.78,34.88,27.36,9.44,22.41,21.08,12.36,43.84,31.21,52.92,3.80,7.98,19.45,19.67,14.57,23.84,20.50,26.09,3.63,5.71,23.95,2.89,12.87,10.85,32.13,26.97
32.81,2.59,11.06,23.03,39.33,26.69,25.22,41.93,1003.98,22.92,38.73,5.09,62.45,44.93,7.03,42.28,34.09,49.50,31.49,6.53,47.53,22.58,26.30,77.07,12.11,13.01,59.28,11.57,21.69,16.23,7.24,69.62,26.70,37.43,14.63,6.50,12.07,22.96,21.21,34.85,433.72,13.31,7.81,20.25,20.97,8.21,29.98,58.19,18.60,24.51,30.63,33.51,7.35,91.08,10.99,6.08,20.77,12.12,236.05,108.82,29.57,25.01,17.84,55.71,8.86,5.58,17.06,23.89,42.44,40.61,27.59,10.97,11.27,34.26,26.13,35.68,27.71,9.44,22.79,21.41,12.51,43.60,31.30,52.81,3.86,8.02,19.52,19.88,14.75,23.94,20.14,25.91,3.55,5.72,25.47,2.81,13.34,10.83,32.14,26.84
32.99,2.60,11.04,23.00,39.48,26.47,24.85,41.70,995.90,22.93,38.21,5.01,61.96,44.36,6.94,42.28,33.87,49.21,32.18,6.47,47.06,22.19,26.07,78.09,11.72,12.98,58.90,11.38,21.95,16.10,7.32,68.59,26.70,37.46,14.47,6.42,11.91,23.57,21.15,34.87,434.16,13.10,7.80,20.63,21.04,8.19,29.73,57.17,18.39,24.51,30.64,33.76,7.32,89.78,10.97,5.83,20.52,12.44,232.05,109.05,29.30,24.72,17.60,55.31,9.56,5.50,16.95,23.78,43.55,40.42,27.08,10.91,11.24,34.13,25.93,35.46,27.45,9.33,22.44,21.46,13.00,43.33,30.91,52.36,3.84,8.01,19.53,19.77,14.57,24.24,20.48,25.81,3.67,5.65,27.33,2.75,13.15,10.76,31.82,26.06
32.10,2.64,11.00,22.71,38.84,26.64,25.02,42.88,992.92,22.80,38.13,5.24,62.28,44.40,6.68,42.20,33.87,49.06,32.34,6.55,46.21,22.31,25.98,78.55,11.77,12.96,59.04,11.39,21.96,16.25,7.35,68.54,26.70,37.66,14.26,6.44,11.82,23.72,20.96,35.15,433.19,13.30,7.78,20.50,21.09,8.28,30.21,57.19,18.85,24.68,31.34,33.88,7.20,89.50,10.95,5.83,20.57,12.64,233.36,109.88,28.86,24.77,17.59,55.05,9.48,5.46,16.83,23.53,42.65,40.17,27.06,10.88,11.25,34.13,25.89,34.46,27.54,9.31,22.23,21.07,12.91,43.45,30.97,52.22,4.35,8.02,19.53,19.81,14.51,24.24,20.20,25.90,3.65,5.65,26.87,2.77,13.03,10.75,31.68,26.66
28.28,2.61,10.97,23.18,39.44,25.82,24.79,42.57,978.61,22.58,37.92,5.33,62.78,44.00,6.51,41.82,33.50,48.50,32.19,6.47,46.39,22.40,25.68,77.95,11.57,12.89,58.86,11.23,21.71,16.17,7.39,68.04,28.25,37.36,14.08,6.43,11.78,23.61,21.04,36.02,428.85,13.23,7.90,20.81,20.82,8.16,30.31,56.20,18.62,24.44,31.93,34.08,7.24,87.88,11.08,5.66,20.48,12.57,233.79,109.33,28.62,24.57,17.59,54.94,9.64,5.31,16.65,23.61,43.70,39.82,26.92,10.80,11.09,33.73,25.54,33.86,27.33,9.17,22.31,21.10,12.95,43.79,30.60,51.95,4.12,7.95,19.38,19.66,13.97,24.09,19.97,26.06,3.68,5.58,26.55,2.86,13.02,10.69,31.58,27.35
